Item;PL_Liberal;PL_Social;CZ_Liberal;CZ_Social
o1;Agree;Disagree;Agree;Disagree
o3;Agree;Disagree;Agree;Disagree
o4;Disagree;Agree;Disagree;Agree
o6;Disagree;Agree;Disagree;Agree
o7;Agree;Disagree;Agree;Disagree
o8;Agree;Disagree;Agree;Disagree
o9;Agree;Disagree;Agree;Disagree
o10;Disagree;Agree;Disagree;Agree
o11;Agree;Disagree;Agree;Disagree
o12;Disagree;Agree;Disagree;Agree
o13;Disagree;Agree;Disagree;Agree
o14;Disagree;Agree;Disagree;Agree
o18;Disagree;Agree;Disagree;Agree
o19;Agree;Disagree;Agree;Disagree
o20;Agree;Disagree;Agree;Disagree
o21;Agree;Disagree;Agree;Disagree
o22;Disagree;Agree;Disagree;Agree
o23;Disagree;Agree;Disagree;Agree
