p1; Każdy powinien płacić podatek dochodowy w tej samej kwocie
p2; Dochody osobiste powinny być opodatkowane
p3; Większość zabytków powinna być sprzedawana prywatnym inwestorom
p4; Każdy powinien mieć zapewniony przez państwo dochód podstawowy
p5; Konsumpcja (np. zakup towarów i usług) powinna być opodatkowana
p6; Przedsiębiorstwa kluczowe dla gospodarki powinny być w rękach państwa
p7; Płaca minimalna powinna zostać zniesiona
p8; Nie ma potrzeby istnienia mediów publicznych (opłacanych z budżetu państwa)
p9; Komunikacja publiczna powinna być finansowana wyłącznie z biletów, a nie ze środków publicznych
p10; Wszystkie rodzaje studiów wyższych powinny być nieodpłatne dla studentów
p11; Pomoc biednym powinna być zadaniem osób indywidualnych lub organizacji pozarządowych, a nie państwa I samorządów
p12; To państwo przede wszystkim powinno finansować rodzimą kulturę
p13; Osoby, których nie stać na własne mieszkanie, powinny mieć możliwość wynajęcia lokalu komunalnego (tj. należącego do gminy) za stawki znacznie poniżej cen rynkowych
p14; Osoby, których nie stać na płacenie składek, powinny mieć w nagłych przypadkach bezpłatny dostęp do opieki medycznej
p15; Każdy niezależnie od wykonywanego zawodu powinien otrzymywać emeryturę na takich samych warunkach
p16; Przychody przedsiębiorstw powinny być opodatkowane
p17; Państwo powinno finansować system sądownictwa
p18; Wszystkie drogi i autostrady powinny pozostawać w rękach państwa lub samorządu
p19; To wolny rynek powinien regulować większość stosunków gospodarczych
p20; Powinna istnieć możliwość zrezygnowania z uczestnictwa w publicznym systemie służby zdrowia (czyli m.in. niepłacania składek)
p21; Powinna istnieć możliwość całkowitej rezygnacji z publicznego systemu świadczeń emerytalnych
p22; Dobrą decyzją ze strony rządu byłoby podwyższenie podatków dochodowych o 10% w zamian za wzrost poziomu świadczeń gwarantowanych o 10%
p23; Artykuły pierwszej potrzeby takie jak żywność i ratujące życie leki nie powinny być w ogóle opodatkowane
